,title
0,Toy Story
1,Jumanji
2,Grumpier Old Men
3,Waiting to Exhale
4,Father of the Bride Part II
5,Heat
6,Sabrina
7,Tom and Huck
8,Sudden Death
9,GoldenEye
10,The American President
11,Dracula: Dead and Loving It
12,Balto
13,Nixon
14,Cutthroat Island
15,Casino
16,Sense and Sensibility
17,Four Rooms
18,Ace Ventura: When Nature Calls
19,Money Train
20,Get Shorty
21,Copycat
22,Assassins
23,Powder
24,Leaving Las Vegas
25,Othello
26,Now and Then
27,Persuasion
28,The City of Lost Children
29,Shanghai Triad
30,Dangerous Minds
31,Twelve Monkeys
32,Babe
33,Carrington
34,Dead Man Walking
35,Across the Sea of Time
36,It Takes Two
37,Clueless
38,"Cry, the Beloved Country"
39,Richard III
40,Dead Presidents
41,Restoration
42,Mortal Kombat
43,To Die For
44,How To Make An American Quilt
45,Se7en
46,Pocahontas
47,When Night Is Falling
48,The Usual Suspects
49,Mighty Aphrodite
50,Lamerica
51,The Big Green
52,Georgia
53,Home for the Holidays
54,The Postman
55,The Confessional
56,The Indian in the Cupboard
57,Eye for an Eye
58,Mr. Holland's Opus
59,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
60,Two If by Sea
61,Bio-Dome
62,Lawnmower Man 2: Beyond Cyberspace
63,French Twist
64,Friday
65,From Dusk Till Dawn
66,Fair Game
67,Kicking and Screaming
68,Les Miserables
69,Bed of Roses
70,Screamers
71,Nico Icon
72,The Crossing Guard
73,The Juror
74,The White Balloon
75,Things to Do in Denver When You're Dead
76,Antonia's Line
77,Once Upon a Time... When We Were Colored
78,Last Summer in the Hamptons
79,Angels and Insects
80,White Squall
81,Dunston Checks In
82,Black Sheep
83,Nick of Time
84,Mary Reilly
85,Vampire in Brooklyn
86,Beautiful Girls
87,Broken Arrow
88,A Midwinter's Tale
89,La Haine
90,Shopping
91,Heidi Fleiss: Hollywood Madam
92,City Hall
93,Bottle Rocket
94,Mr. Wrong
95,Unforgettable
96,Happy Gilmore
97,The Bridges of Madison County
98,Muppet Treasure Island
99,Catwalk
100,Braveheart
101,Taxi Driver
102,Rumble in the Bronx
103,Before and After
104,Margaret's Museum
105,Anne Frank Remembered
106,The Young Poisoner's Handbook
107,If Lucy Fell
108,Steal Big Steal Little
109,The Boys of St. Vincent
110,Boomerang
111,Chungking Express
112,The Star Maker
113,Flirting with Disaster
114,The Neverending Story III: Escape from Fantasia
115,Pie in the Sky
116,Angela
117,Frankie Starlight
118,Jade
119,Down Periscope
120,Man of the Year
121,Up Close & Personal
122,The Birdcage
123,The Brothers McMullen
124,Bad Boys
125,The Amazing Panda Adventure
126,The Basketball Diaries
127,An Awfully Big Adventure
128,Amateur
129,Apollo 13
130,Rob Roy
131,The Addiction
132,Batman Forever
133,Belle de Jour
134,Beyond Rangoon
135,Blue in the Face
136,Canadian Bacon
137,Casper
138,Clockers
139,Congo
140,Crimson Tide
141,Crumb
142,Desperado
143,Devil in a Blue Dress
144,Die Hard: With a Vengeance
145,The Doom Generation
146,Feast of July
147,First Knight
148,Free Willy 2 - The Adventure Home
149,Hackers
150,Jeffrey
151,Johnny Mnemonic
152,Judge Dredd
153,Jury Duty
154,Kids
155,Living in Oblivion
156,Lord of Illusions
157,Love & Human Remains
158,Mad Love
159,Mallrats
160,Mighty Morphin Power Rangers: The Movie
161,Mute Witness
162,Nadja
163,The Net
164,Nine Months
165,Party Girl
166,The Prophecy
167,Reckless
168,Safe
169,The Scarlet Letter
170,Showgirls
171,Smoke
172,Something to Talk About
173,Species
174,Strange Days
175,The Umbrellas of Cherbourg
176,The Tie That Binds
177,Three Wishes
178,Total Eclipse
179,"To Wong Foo, Thanks for Everything! Julie Newmar"
180,Under Siege 2: Dark Territory
181,Unstrung Heroes
182,Unzipped
183,A Walk in the Clouds
184,Waterworld
185,White Man's Burden
186,The Browning Version
187,Burnt by the Sun
188,Before the Rain
189,Before Sunrise
190,Billy Madison
191,The Babysitter
192,Boys on the Side
193,The Cure
194,Castle Freak
195,Circle of Friends
196,Clerks
197,Don Juan DeMarco
198,Disclosure
199,Drop Zone
200,Destiny Turns on the Radio
201,Death and the Maiden
202,Dolores Claiborne
203,Dumb and Dumber
204,Eat Drink Man Woman
205,Exotica
206,Exit to Eden
207,Ed Wood
208,French Kiss
209,Forget Paris
210,Far from Home: The Adventures of Yellow Dog
211,A Goofy Movie
212,Hideaway
213,Fluke
214,Farinelli
215,Gordy
216,Gumby: The Movie
217,The Glass Shield
218,Hoop Dreams
219,Heavenly Creatures
220,Houseguest
